timestamp_ms,lastBlitMs,rectCount,dirtyArea,spike
1778357868142,0.4186,0,0,0
1778357868175,0.3643,0,0,0
1778357868209,0.3115,0,0,0
1778357868241,0.3134,0,0,0
1778357868275,0.3182,0,0,0
1778357868309,0.3852,0,0,0
1778357868343,0.5567,0,0,0
1778357868376,0.3605,0,0,0
1778357868409,0.4247,0,0,0
1778357868442,0.4707,0,0,0
1778357868475,0.307,0,0,0
1778357868508,0.4,0,0,0
1778357868542,0.3126,0,0,0
1778357868574,0.3171,0,0,0
1778357868607,0.3237,0,0,0
1778357868640,0.3743,0,0,0
1778357868674,0.4172,0,0,0
1778357868707,0.3677,0,0,0
1778357868741,0.3107,0,0,0
1778357868774,0.4549,0,0,0
1778357868813,0.3112,0,0,0
1778357868847,0.3936,0,0,0
1778357868879,0.3114,0,0,0
1778357868913,0.3031,0,0,0
1778357868946,0.3071,0,0,0
1778357868981,0.3012,0,0,0
1778357869015,0.3529,0,0,0
1778357869049,0.3376,0,0,0
1778357869082,0.4039,0,0,0
1778357869115,0.3128,0,0,0
1778357869149,0.3952,0,0,0
1778357869182,0.3389,0,0,0
1778357869215,0.3634,0,0,0
1778357869249,0.3022,0,0,0
1778357869283,0.3279,0,0,0
1778357869316,0.3303,0,0,0
1778357869349,0.3573,0,0,0
1778357869382,0.3007,0,0,0
1778357869415,0.4657,0,0,0
1778357869449,0.3096,0,0,0
1778357869483,0.3938,0,0,0
1778357869517,0.3234,0,0,0
1778357869556,0.3217,0,0,0
1778357869589,0.31,0,0,0
1778357869622,0.3495,0,0,0
1778357869656,0.3151,0,0,0
1778357869689,0.3499,0,0,0
1778357869722,0.3072,0,0,0
1778357869755,0.3032,0,0,0
1778357869789,0.4476,0,0,0
1778357869822,0.3548,0,0,0
1778357869856,0.3061,0,0,0
1778357869889,0.3347,0,0,0
1778357869923,0.3032,0,0,0
1778357869956,0.3714,0,0,0
1778357869989,0.3876,0,0,0
1778357870023,0.3937,0,0,0
1778357870057,0.3065,0,0,0
1778357870091,0.3154,0,0,0
1778357870124,0.3982,0,0,0
1778357870157,0.3028,0,0,0
1778357870190,0.3132,0,0,0
1778357870224,0.3013,0,0,0
1778357870257,0.3886,0,0,0
1778357870291,0.4872,0,0,0
1778357870324,0.3299,0,0,0
1778357870358,0.3144,0,0,0
1778357870391,0.3204,0,0,0
1778357870424,0.4223,0,0,0
1778357870458,0.3794,0,0,0
1778357870492,0.3099,0,0,0
1778357870525,0.2988,0,0,0
1778357870558,0.2971,0,0,0
1778357870592,0.3456,0,0,0
1778357870626,0.2915,0,0,0
1778357870659,0.3468,0,0,0
1778357870693,0.2934,0,0,0
1778357870726,0.3079,0,0,0
1778357870760,0.3048,0,0,0
1778357870794,0.3166,0,0,0
1778357870828,0.3844,0,0,0
1778357870861,0.3732,0,0,0
1778357870895,0.3109,0,0,0
1778357870927,0.3198,0,0,0
1778357870961,0.3292,0,0,0
1778357870995,0.3091,0,0,0
1778357871028,0.4929,0,0,0
1778357871062,0.3067,0,0,0
1778357871095,0.3426,0,0,0
1778357871129,0.3032,0,0,0
1778357871163,0.3153,0,0,0
1778357871195,0.3096,0,0,0
1778357871229,0.3041,0,0,0
1778357871262,0.3243,0,0,0
1778357871295,0.5185,0,0,0
1778357871328,0.2805,0,0,0
1778357871361,0.3104,0,0,0
1778357871395,0.3625,0,0,0
1778357871429,0.3145,0,0,0
1778357871463,0.3026,0,0,0
1778357871496,0.2946,0,0,0
1778357871528,0.3312,0,0,0
1778357871561,0.2887,0,0,0
1778357871594,0.3488,0,0,0
1778357871627,0.2944,0,0,0
1778357871661,0.4744,0,0,0
1778357871694,0.3051,0,0,0
1778357871727,0.2927,0,0,0
1778357871760,0.3003,0,0,0
1778357871794,0.2659,0,0,0
1778357871828,0.3446,0,0,0
1778357871861,0.3434,0,0,0
1778357871894,0.3477,0,0,0
1778357871927,0.3135,0,0,0
1778357871961,0.3061,0,0,0
1778357871994,0.2687,0,0,0
1778357872028,0.3049,0,0,0
1778357872061,0.3032,0,0,0
1778357872094,0.3215,0,0,0
1778357872128,0.3196,0,0,0
1778357872160,0.3317,0,0,0
1778357872193,0.3127,0,0,0
1778357872225,0.3404,0,0,0
1778357872259,0.3128,0,0,0
1778357872293,0.3075,0,0,0
1778357872325,0.3439,0,0,0
1778357872360,0.3679,0,0,0
1778357872394,0.2819,0,0,0
1778357872427,0.4705,0,0,0
1778357872460,0.3197,0,0,0
1778357872494,0.3039,0,0,0
1778357872526,0.4503,0,0,0
1778357872560,0.2508,0,0,0
1778357872593,0.2907,0,0,0
1778357872626,0.3091,0,0,0
1778357872659,0.3132,0,0,0
1778357872692,0.3846,0,0,0
1778357872725,0.3211,0,0,0
1778357872758,0.3158,0,0,0
1778357872791,0.3662,0,0,0
1778357872825,0.4394,0,0,0
1778357872858,0.2661,0,0,0
1778357872892,0.4121,0,0,0
1778357872926,0.3097,0,0,0
1778357872959,0.3029,0,0,0
1778357872993,0.3768,0,0,0
1778357873026,0.3038,0,0,0
1778357873060,0.2945,0,0,0
1778357873092,0.3605,0,0,0
1778357873126,0.355,0,0,0
1778357873159,0.3201,0,0,0
1778357873194,0.3096,0,0,0
1778357873228,0.2926,0,0,0
1778357873261,0.2888,0,0,0
1778357873294,0.3926,0,0,0
1778357873327,0.3061,0,0,0
1778357873360,0.4374,0,0,0
1778357873394,0.5196,0,0,0
1778357873427,0.3094,0,0,0
1778357873461,0.3532,0,0,0
1778357873494,0.3538,0,0,0
1778357873528,0.3025,0,0,0
1778357873561,0.3423,0,0,0
1778357873594,0.2915,0,0,0
1778357873627,0.3277,0,0,0
1778357873661,0.3432,0,0,0
1778357873695,0.3199,0,0,0
1778357873727,0.3708,0,0,0
1778357873761,0.3744,0,0,0
1778357873795,0.3081,0,0,0
1778357873828,0.3245,0,0,0
1778357873861,0.3047,0,0,0
1778357873893,0.3149,0,0,0
1778357873927,0.3679,0,0,0
1778357873960,0.3309,0,0,0
